iata_code,local_code,name,latitude_deg,longitude_deg,elevation_ft,type,local_region,country_name
LHR,,London Heathrow Airport,51.4706,-0.461941,83.0,large_airport,ENG,United Kingdom
LAX,LAX,Los Angeles International Airport,33.942501,-118.407997,125.0,large_airport,CA,United States
ORD,ORD,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,large_airport,IL,United States
JFK,JFK,John F Kennedy International Airport,40.639447,-73.779317,13.0,large_airport,NY,United States
ATL,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,large_airport,GA,United States
CDG,,Charles de Gaulle International Airport,49.012798,2.55,392.0,large_airport,IDF,France
SFO,SFO,San Francisco International Airport,37.61899948120117,-122.375,13.0,large_airport,CA,United States
AMS,,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,large_airport,NH,Netherlands
FRA,,Frankfurt Airport,50.036521,8.561268,364.0,large_airport,HE,Germany
DFW,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,607.0,large_airport,TX,United States
EWR,EWR,Newark Liberty International Airport,40.692501,-74.168701,18.0,large_airport,NJ,United States
LAS,LAS,Harry Reid International Airport,36.083361,-115.151817,2181.0,large_airport,NV,United States
MCO,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016,96.0,large_airport,FL,United States
DEN,DEN,Denver International Airport,39.861698150635,-104.672996521,5431.0,large_airport,CO,United States
LGA,LGA,La Guardia Airport,40.777199,-73.872597,21.0,large_airport,NY,United States
MIA,MIA,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,large_airport,FL,United States
IAD,IAD,Washington Dulles International Airport,38.9445,-77.455803,312.0,large_airport,VA,United States
PHX,PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905,1135.0,large_airport,AZ,United States
BOS,BOS,Logan International Airport,42.3643,-71.005203,20.0,large_airport,MA,United States
SEA,SEA,Seattle–Tacoma International Airport,47.449162,-122.311134,433.0,large_airport,WA,United States
PHL,PHL,Philadelphia International Airport,39.87189865112305,-75.24109649658203,36.0,large_airport,PA,United States
LGW,,London Gatwick Airport,51.148102,-0.190278,202.0,large_airport,ENG,United Kingdom
CLT,CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,748.0,large_airport,NC,United States
IAH,IAH,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,97.0,large_airport,TX,United States
DTW,DTW,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,645.0,large_airport,MI,United States
DCA,DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,15.0,large_airport,DC,United States
MSP,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,841.0,large_airport,MN,United States
YYZ,YYZ,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,569.0,large_airport,ON,Canada
MUC,,Munich Airport,48.353802,11.7861,1487.0,large_airport,BY,Germany
BCN,,Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.07846,12.0,large_airport,CT,Spain
FCO,RM11,Rome–Fiumicino Leonardo da Vinci International Airport,41.804532,12.251998,13.0,large_airport,62,Italy
MAD,,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,1998.0,large_airport,MD,Spain
SLC,SLC,Salt Lake City International Airport,40.785749,-111.979746,4227.0,large_airport,UT,United States
FLL,FLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,9.0,large_airport,FL,United States
MDW,MDW,Chicago Midway International Airport,41.785999,-87.752403,620.0,large_airport,IL,United States
SAN,SAN,San Diego International Airport,32.7336006165,-117.190002441,17.0,large_airport,CA,United States
ZRH,,Zürich Airport,47.458056,8.548056,1417.0,large_airport,ZH,Switzerland
CPH,,Copenhagen Kastrup Airport,55.617900848389,12.656000137329,17.0,large_airport,84,Denmark
BWI,BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146.0,large_airport,MD,United States
BRU,,Brussels Airport,50.901402,4.48444,184.0,large_airport,BRU,Belgium
DUB,,Dublin Airport,53.428713,-6.262121,242.0,large_airport,D,Ireland
SIN,,Singapore Changi Airport,1.35019,103.994003,22.0,large_airport,04,Singapore
STL,STL,St Louis Lambert International Airport,38.748697,-90.370003,618.0,large_airport,MO,United States
HNL,HNL,Daniel K Inouye International Airport,21.32062,-157.924228,13.0,large_airport,HI,United States
YVR,,Vancouver International Airport,49.193901062,-123.183998108,14.0,large_airport,BC,Canada
NRT,,Narita International Airport,35.764702,140.386002,141.0,large_airport,12,Japan
