,,Different Marketer & Operator Carrier Code,Flight Number,Flight Year,Flight Month,Flight Day,Flight Weekday,Proportion of freight to the payload,Proportion of mail to the payload,Proportion of filled seats,Average payload (lbs),Average number of available seats,Distance interval (x500mi),Distance (miles),Scheduled Elapsed Time,Flights Count_origin,Average Flights Per Day_origin,Busyness Score_origin,Scheduled hour of departure,Precipitation (mm)_origin,Snowfall (mm)_origin,Maximum Temperature (*C)_origin,Avg Pressure for the day (hPa)_origin,Avg Wind Speed (m/s)_origin,Avg Humidity (%)_origin,Fog_origin,Thunder_origin,Smoke_or_Haze_origin,Flights Count_destination,Average Flights Per Day_destination,Busyness Score_destination,Scheduled hour of arrival,Precipitation (mm)_destination,Snowfall (mm)_destination,Maximum Temperature (*C)_destination,Avg Pressure for the day (hPa)_destination,Avg Wind Speed (m/s)_destination,Avg Humidity (%)_destination,Fog_destination,Thunder_destination,Smoke_or_Haze_destination,Departure Delay (minutes),Arrival Delay (minutes),Carrier Delay (minutes),Weather Delay (minutes),National Air System Delay (minutes),Security Delay (minutes),Late Aircraft Delay (minutes),cancelled,cancellation_code,diverted,Operator - Unique Carrier Code2_9E,Operator - Unique Carrier Code2_9K,Operator - Unique Carrier Code2_AA,Operator - Unique Carrier Code2_AS,Operator - Unique Carrier Code2_AX,Operator - Unique Carrier Code2_B6,Operator - Unique Carrier Code2_C5,Operator - Unique Carrier Code2_CP,Operator - Unique Carrier Code2_DL,Operator - Unique Carrier Code2_EM,Operator - Unique Carrier Code2_EV,Operator - Unique Carrier Code2_F9,Operator - Unique Carrier Code2_G4,Operator - Unique Carrier Code2_G7,Operator - Unique Carrier Code2_HA,Operator - Unique Carrier Code2_KS,Operator - Unique Carrier Code2_MQ,Operator - Unique Carrier Code2_NK,Operator - Unique Carrier Code2_OH,Operator - Unique Carrier Code2_OO,Operator - Unique Carrier Code2_PT,Operator - Unique Carrier Code2_QX,Operator - Unique Carrier Code2_UA,Operator - Unique Carrier Code2_VX,Operator - Unique Carrier Code2_WN,Operator - Unique Carrier Code2_YV,Operator - Unique Carrier Code2_YX,Operator - Unique Carrier Code2_ZW,Aircraft group2_4.0,Aircraft group2_6.0,Aircraft group2_UNK,Aircraft type2_432.0,Aircraft type2_441.0,Aircraft type2_482.0,Aircraft type2_530.0,Aircraft type2_608.0,Aircraft type2_612.0,Aircraft type2_614.0,Aircraft type2_622.0,Aircraft type2_623.0,Aircraft type2_624.0,Aircraft type2_626.0,Aircraft type2_627.0,Aircraft type2_629.0,Aircraft type2_631.0,Aircraft type2_634.0,Aircraft type2_638.0,Aircraft type2_655.0,Aircraft type2_656.0,Aircraft type2_673.0,Aircraft type2_675.0,Aircraft type2_676.0,Aircraft type2_677.0,Aircraft type2_678.0,Aircraft type2_687.0,Aircraft type2_694.0,Aircraft type2_696.0,Aircraft type2_698.0,Aircraft type2_699.0,Aircraft type2_721.0,Aircraft type2_722.0,Aircraft type2_723.0,Aircraft type2_887.0,Aircraft type2_888.0,Aircraft type2_UNK,Aircraft configuration2_1.0,Aircraft configuration2_2.0,Aircraft configuration2_UNK,Service class2_F,Service class2_G,Service class2_L,Service class2_UNK,Airport Type_origin2_large_airport,Airport Type_origin2_medium_airport,Airport Type_origin2_small_airport,Airport Type_destination2_large_airport,Airport Type_destination2_medium_airport,Airport Type_destination2_small_airport
0,Different Marketer & Operator Carrier Code,1,0.772379151,0.002348441,0.005006481,0.001627536,-0.005825487,-0.017845008,-0.28616486,-0.243256527,-0.825960666,-0.921264508,-0.376461969,-0.393274397,-0.351459229,-0.07528882,-0.077467047,0.023074202,0.003467106,-0.011094418,0.018695641,-0.096049097,-0.051546824,-0.022334741,0.072419724,0.029131532,,,-0.081376504,-0.083025756,0.022986522,0.022232808,-0.01027768,0.019006382,-0.095948486,-0.047870172,-0.018193233,0.071357589,0.024872553,,,-0.057561645,-0.004932361,-0.012167124,0.006924906,0.014779554,-0.001834969,0.019339976,,,,0.234975367,0.016114189,-0.28082933,-0.141595345,0.125708382,-0.148051804,0.100587088,0.143203773,-0.289566892,0.045228526,0.185445804,-0.095271137,-0.087098266,0.131874981,-0.081441469,0.017133085,0.259225595,-0.120444724,0.244538032,0.434230121,0.15183851,0.162485218,-0.226171258,-0.025393259,-0.352529255,0.215682939,0.267927407,0.146003783,0.136387547,-0.158582643,0.086876797,0.017133085,0.045103262,0.127389902,0.010624922,-0.130285538,-0.32757354,-0.248847834,-0.106989188,-0.039288895,-0.02484484,-0.028255369,-0.038167679,0.374796033,0.278687925,-0.016584772,0.323126881,-0.12985418,-0.051949161,0.419307588,0.313890993,0.143203773,0.146003783,-0.098595764,-0.007145782,-0.210222726,-0.028463672,-0.184628255,-0.208718537,-0.026825607,-0.078862641,-0.036745386,-0.002802703,-0.203285385,0.086876797,-0.078267259,-0.021718181,0.086876797,-0.07772449,-0.021718181,0.001064845,0.086876797,-0.232818923,0.226510123,0.05408707,-0.231474851,0.225316268,0.053094399
1,Flight Number,0.772379151,1,-0.009778147,0.019834064,0.007529954,0.054854943,-0.056827735,-0.284949508,-0.20281674,-0.665230132,-0.728881054,-0.349188044,-0.357524746,-0.326581976,-0.07113039,-0.07060823,-0.007258767,0.003160798,-0.016990073,0.010787496,-0.060098758,-0.072635826,-0.035784373,0.041246406,0.02079755,,,-0.081383536,-0.080558612,-0.004922657,0.024329838,-0.013054526,0.012138046,-0.05912729,-0.078641106,-0.030192482,0.039001273,0.017592599,,,-0.01989226,0.004212276,-0.001162776,0.004390965,-0.001923589,-0.000389946,0.024486061,,,,0.170160131,0.024544816,-0.235168239,-0.197598299,0.100562754,-0.175528304,0.092708116,0.187255776,-0.200967211,-0.03873906,0.115504138,-0.109405844,-0.09516401,0.151641812,-0.141167322,0.004147673,0.109290728,-0.174675311,0.266557996,0.32670977,0.136578603,-0.021803321,-0.230510362,-0.022650579,-0.090469101,0.294494204,0.196838926,0.083424498,-0.032237236,-0.018590298,0.05794865,0.004147673,-0.038632473,-0.021236988,0.008115518,-0.129761439,-0.092042614,-0.17867243,-0.086497297,-0.039859791,-0.028764163,-0.02171278,-0.043190794,0.317773798,0.241586582,-0.010470389,0.306918967,-0.08749659,-0.035611915,0.329352229,0.220338746,0.060966692,0.09132688,-0.092090563,-0.009378137,-0.229774747,-0.05295036,-0.178542628,-0.200638547,-0.048063561,-0.09139102,-0.025906951,-0.005175772,-0.218311175,0.05794865,-0.045642711,-0.039637775,0.05794865,-0.045088112,-0.039637775,-0.001160848,0.05794865,-0.164472477,0.158883221,0.046598017,-0.169986541,0.164464105,0.046312971
2,Flight Year,0.002348441,-0.009778147,1,0.005710791,-0.008841013,0.001498071,-0.005343863,0.000955856,-0.008692052,0.000717618,0.00028175,-0.000205894,0.000947709,0.006109199,0.013309145,-0.003382123,0.11645861,0.003285917,-0.018614156,0.000628489,-0.00204432,-0.01012672,-0.008678054,-0.038214886,-0.006462595,,,0.01144364,-0.004874994,0.109695193,0.00097621,-0.016097102,0.005481056,-0.00250283,-0.013924549,-0.019032166,-0.038533207,-0.008325183,,,0.001661542,-0.011721118,0.001194146,-0.00145998,-0.005143977,-0.000292024,0.001978037,,,,0.000254049,-0.012524122,-0.00286212,0.004193552,-0.004976943,-0.006627606,0.003850297,-0.002717372,0.003665587,0.00131424,-0.032604408,0.012696344,0.00406328,-0.011101078,-0.005452231,-0.001168763,0.00472577,0.011229931,0.003969706,0.009168766,0.017307631,0.000846074,-0.00288792,-0.033458717,-0.005810156,0.002697063,0.005142103,-0.005121765,-0.005358875,0.080274932,-0.107048856,-0.001168763,0.001512629,-0.006110799,0.004799407,0.001495875,-0.001012919,-0.002331887,0.000438605,-0.003479583,0.001469818,-0.003518666,-0.002740193,0.004241882,0.004514782,0.00653039,0.00573639,-0.003226075,0.001371286,0.011734513,0.014873656,-0.002349713,0.002695113,-0.003793919,0.003468113,0.004223637,-0.001880121,0.007835762,-0.005679036,-0.000224514,0.016145024,0.009893289,-0.003692904,-0.000375085,-0.107048856,0.103388258,0.00013503,-0.107048856,0.104335296,0.00013503,-0.013860624,-0.107048856,-0.005199242,0.004767509,0.003205642,-0.012271641,0.011911773,0.003135185
3,Flight Month,0.005006481,0.019834064,0.005710791,1,0.002631858,0.017406044,0.004290854,0.007191379,-0.004561269,-0.007292767,-0.006159008,-0.00071022,-0.001933796,-0.009173209,0.022338085,0.004570534,0.096395029,0.004052884,0.031067859,-0.07287385,0.147690772,-0.010073625,-0.120379617,0.047252071,0.022735742,,,0.016843433,-0.001135212,0.091353488,0.001911699,0.027476199,-0.073411315,0.14653677,-0.011040292,-0.124974587,0.047794232,0.020965684,,,-0.006070193,-0.001674234,-0.002474221,-0.006109217,-0.006930927,0.000144994,-0.004129197,,,,-2.79E-05,-0.013268741,-0.003282853,0.006465937,-0.005198388,-0.005858273,0.015188793,-0.00207635,-0.003080984,0.004699968,-0.014515244,0.004600163,-0.002641486,-0.004366634,0.001424831,-0.007992046,0.001750937,0.0010637,-0.001107279,0.007249334,0.005447578,-0.002627893,0.005189947,-0.044680229,-0.002415788,0.004881113,0.005700168,0.000216454,-0.001801024,0.041111583,-0.055757856,-0.007992046,0.004973399,-0.002616175,0.008856647,0.005151067,-0.003050844,0.008955429,-0.004392955,-0.000477672,-0.005636101,-0.001968439,-0.000557659,0.005979774,0.003208604,-0.000127189,-0.000786646,-0.007062516,0.001326528,0.006654056,0.009754399,-0.001068265,0.003625723,7.70E-05,0.000657113,-0.00325049,-0.000305878,0.003905526,-0.008641385,0.00483061,0.006541223,0.009598648,0.005783331,-0.000596768,-0.055757856,0.05382783,0.000159827,-0.055757856,0.05400827,0.000159827,-0.004876592,-0.055757856,-0.001586479,0.002609993,-0.00682282,-0.005637223,0.006162681,-0.002222149
4,Flight Day,0.001627536,0.007529954,-0.008841013,0.002631858,1,0.002664331,-0.003064287,-7.73E-05,0.001319281,-0.001604258,-0.001697221,0.005928241,0.005310049,0.005643998,-0.002182161,-0.006627901,0.027077261,-0.001004858,-0.000150241,-0.00546777,0.014232379,-0.003341087,0.013512812,0.006136236,-0.007130652,,,0.008766198,0.004502125,0.029029505,-0.001251305,-0.001000892,-0.003676112,0.014810104,-0.002104468,0.017136284,0.003132878,-0.010408886,,,0.00051467,-0.001989185,-0.00393788,0.002435321,-0.002790749,0.000631091,0.003410585,,,,0.00454346,0.000623522,0.001536,0.001967034,0.000856942,-0.000214849,-0.000543415,0.000910985,-0.003567475,-0.000665875,-0.000190516,0.002276107,-0.002049656,-0.000620128,0.001699945,-0.00374995,-0.00093141,0.000158541,-0.001687305,-0.000275315,0.003148831,-0.000859832,-6.20E-06,-0.002021778,-0.001575794,-0.004616991,0.004098756,0.002276332,-0.002531989,0.002471525,-0.000951494,-0.00374995,-0.000827103,-0.001902699,-0.003190951,-0.000345775,-0.003129494,0.002135749,-0.001460853,0.000507779,-0.002016481,-0.003749094,-0.000776762,0.003643447,-0.001443132,0.000624861,0.00022434,-0.005355951,0.004287203,0.001134554,0.000691533,-0.002635764,0.001687135,-0.000707975,-0.000368041,0.001492359,0.001255748,0.00055706,0.000799235,-0.001085531,0.00197363,0.003782877,0.004893473,-0.000795811,-0.000951494,0.001548574,-0.002411598,-0.000951494,0.001392056,-0.002411598,0.001069987,-0.000951494,-0.001191725,0.001015108,0.002231743,0.00348505,-0.003557183,-0.000427291
5,Flight Weekday,-0.005825487,0.054854943,0.001498071,0.017406044,0.002664331,1,-0.006220486,-0.000665276,0.013178729,0.008424796,0.007928318,0.011024242,0.011639173,0.009485086,-0.036696829,-0.004537123,-0.163764035,0.001547276,0.007172797,-0.009621246,0.012076718,0.001654628,0.002238647,-0.000143989,-0.001027803,,,-0.030583715,0.000849273,-0.151988513,-0.001306746,0.010853523,-0.003897967,0.0104634,-0.004047759,0.007866934,-0.002548963,-0.001266427,,,-0.001286258,-0.0079808,0.001913379,-0.000625739,-0.006448707,0.002674486,-0.005730522,,,,-0.008472614,0.000867218,0.007994137,0.00636087,0.001768234,-0.002428663,0.001361782,-0.00681399,-0.007170982,-0.001186431,0.003765287,0.004607917,0.009557031,-0.002119421,0.006312644,-0.001926843,-5.66E-05,0.006259777,-0.002434139,-0.00269481,-0.000398087,0.000259148,-0.000198368,0.001181952,-0.003476741,0.001186403,-0.002567794,0.004215515,-0.001293,0.002518642,-0.002244577,-0.001926843,-0.001291039,-0.000659902,0.004704142,-0.000916821,-0.002082188,0.003841248,0.003803505,0.002143772,-0.000787357,0.000888165,0.001590683,-0.000918897,0.00050641,-0.002201244,-0.008304832,-0.003236899,-0.006801831,-0.002874091,0.003082747,-0.00212776,0.001450387,-0.007179147,-0.001541308,0.005857317,-0.002251605,-0.000312313,0.003323765,0.001310871,0.004860949,0.001203123,0.001009183,0.003475926,-0.002244577,0.001972246,0.000752312,-0.002244577,0.002116382,0.000752312,-0.001207952,-0.002244577,-0.006548821,0.006302574,0.002123618,-0.002304335,0.001720806,0.004330027
6,Proportion of freight to the payload,-0.017845008,-0.056827735,-0.005343863,0.004290854,-0.003064287,-0.006220486,1,0.18429003,-0.048247901,0.086727965,0.063245422,0.068300354,0.069288172,0.059981945,-0.013713193,-0.013552074,0.000152741,-0.00786469,0.00585831,-0.000343135,-0.000881272,0.022196047,0.0041543,-0.002362793,-0.005680057,,,-0.026797615,-0.026960439,0.012358945,-0.010469846,0.001089207,0.001396309,-0.004390793,0.012667244,0.013561423,0.003136264,-0.009305357,,,0.00051569,-0.0011603,0.005512054,-0.000906816,-0.004653247,0.001504263,-0.005289454,,,,-0.010866846,,-0.029756784,0.049634239,,-0.010863077,,-0.007238716,0.001333315,0.47245486,-0.002040239,,,,0.029532117,0.090421235,-0.030337158,,-0.024131848,,-0.017054074,-0.011443312,-0.002261039,,0.013659349,-0.01710212,,-0.001260106,0.098677398,-0.086594256,-0.005310921,0.090421235,0.476480532,-0.009249846,,-0.013667986,0.008934027,0.003287881,0.017798773,0.002334775,0.138741849,0.00310888,0.057266627,-0.01018577,-0.014050007,-0.001948698,-0.026000694,-0.013825847,-0.005050908,-0.020024122,-0.024356895,-0.016690867,,-0.016423894,0.029764547,-0.008070635,0.077995391,-0.022777318,-0.008101287,0.012880101,,-0.005858706,0.005846002,0.012574959,-0.005310921,-0.017128911,0.042900578,-0.005310921,-0.016923345,0.042900578,0.00034122,-0.005310921,0.017869533,-0.017725999,-0.002789222,-0.022967903,0.02323298,-0.003166124
7,Proportion of mail to the payload,-0.28616486,-0.284949508,0.000955856,0.007191379,-7.73E-05,-0.000665276,0.18429003,1,0.098179457,0.264019656,0.31025704,0.307350916,0.310915889,0.299317684,0.031892493,0.03175559,0.004702444,-0.000450488,-0.025515715,0.018026559,-0.058466117,-0.025840929,0.038290557,-0.013714975,-0.009443308,,,0.042325284,0.041852112,0.036436073,-0.023403657,-0.014812809,0.006066487,-0.027020206,-0.018498785,0.031683729,-0.01595291,-0.009009498,,,-0.00384779,-0.026935952,-0.006745976,-0.006731203,0.003004006,0.003932697,-0.017494265,,,,-0.022058362,,-0.149756012,-0.0153485,,,,-0.024800817,0.050678728,,-0.006407536,,,,-0.023233882,0.160943817,-0.156076441,,-0.144612622,,-0.085952305,-0.050444153,0.394891284,,,-0.109839219,-0.083723418,-0.009053185,8.92E-05,0.015335618,-0.027023564,0.160943817,,-0.050635213,,-0.04210894,0.122925447,-0.016947975,0.058655002,0.106751805,0.026093137,0.01222667,0.0570736,-0.048014609,-0.092581556,0.06783847,-0.149883034,-0.018246604,0.016256495,-0.122457326,-0.120236577,-0.083482213,-0.044100258,-0.058179334,0.009262934,0.069110733,-0.016297404,0.065973954,-0.077293419,-0.017108098,,0.018580539,,0.214842996,-0.027023564,-0.09882388,0.173670344,-0.027023564,-0.097897658,0.173670344,0.001304033,-0.027023564,0.084431221,-0.083432727,-0.01357577,0.089032867,-0.087776283,-0.017773492
8,Proportion of filled seats,-0.243256527,-0.20281674,-0.008692052,-0.004561269,0.001319281,0.013178729,-0.048247901,0.098179457,1,0.285802475,0.298196,0.363577742,0.377691148,0.373238406,0.155834191,0.160867695,-0.065127804,0.013957524,-0.001550405,-0.001569272,0.051659938,-0.071311412,-0.005408555,-0.052228585,-0.005768776,,,0.177417318,0.182629965,-0.067487533,-0.020929249,0.001774833,-0.003489596,0.05085043,-0.063756161,-0.005546197,-0.049159292,0.000130205,,,0.043889774,0.016107125,0.01231861,0.007582552,0.014689977,0.001382481,-0.01173813,,,,-0.085158521,-0.023456641,0.129081982,-0.028938521,-0.011522292,0.040143802,0.005000016,-0.034096607,0.080209152,-0.138571276,-0.051078121,0.064687899,0.042936457,-0.031513569,-0.03410821,-0.047401897,-0.096451777,0.029054736,-0.00875644,-0.080060823,-0.060877001,-0.010708808,0.126082324,-0.014327727,-0.000460809,-0.01851272,-0.115515806,-0.036099984,-0.063235951,0.089416849,-0.062520935,-0.047401897,-0.138668987,-0.01166619,0.000884325,-0.083299541,-0.055289435,0.103988907,0.096430874,0.044694372,0.024408254,0.025036199,0.009844769,-0.161925382,-0.02635498,0.0211217,-0.028924679,0.049990744,0.022263346,-0.054845078,-0.077131891,-0.11967203,-0.038236636,-0.040269221,0.013736144,0.052189634,0.009099562,0.00392976,0.160414392,0.004909821,0.050935547,-0.031456437,0.001712548,0.163562864,-0.062520935,0.082244352,-0.08369759,-0.062520935,0.082686808,-0.08369759,-0.008699092,-0.062520935,0.153949912,-0.146140439,-0.063393078,0.176378227,-0.168244924,-0.066489837
9,Average payload (lbs),-0.825960666,-0.665230132,0.000717618,-0.007292767,-0.001604258,0.008424796,0.086727965,0.264019656,0.285802475,1,0.921249818,0.498297342,0.515683442,0.479134352,0.088940568,0.091770982,-0.011371373,-0.001752881,0.010069633,-0.016106529,0.089308858,0.050635848,0.020076159,-0.068921065,-0.026184069,,,0.096864795,0.099087995,-0.014789081,-0.018355881,0.008749593,-0.019423946,0.089003381,0.050715395,0.015918455,-0.066627637,-0.022255523,,,0.044178929,-0.00103848,0.015188112,-0.004256363,-0.008956252,0.002536121,-0.024618077,,,,-0.15657278,-0.018169388,0.278889785,0.125258092,-0.137787486,0.042108772,-0.104966556,-0.086446812,0.289957314,-0.050931674,-0.207079041,0.185987308,0.25839079,-0.091019408,0.109476248,-0.022505996,-0.252579771,0.077814868,-0.188882491,-0.393440823,-0.170617031,-0.115350418,0.192624009,0.017287771,0.146026505,-0.139309609,-0.148029175,-0.13076033,-0.10554308,0.133504534,-0.082325705,-0.022505996,-0.050791731,-0.091652302,-0.008204736,0.046209524,0.125022852,0.197995405,0.178666755,0.059209684,0.104037158,0.048576612,0.147404311,-0.354532285,-0.228124216,0.015798112,-0.201208657,0.074797352,0.041278879,-0.294918825,-0.343882504,-0.150129216,-0.083806464,-0.031121331,0.046509356,0.20484939,0.195512025,0.145541176,0.2729906,0.113819431,0.142408643,0.026669057,0.01437036,0.21688885,-0.082325705,0.0762743,0.012505631,-0.082325705,0.075857434,0.012505631,-0.00187659,-0.082325705,0.226711239,-0.221248023,-0.046774303,0.227995657,-0.223030365,-0.043267548
