"dest","total_arrivals","total_arriving_passengers","year","month"
"ABE",605,25176,2018,1
"ABE",532,24682,2018,2
"ABE",614,31500,2018,3
"ABE",638,31450,2018,4
"ABE",678,34462,2018,5
"ABE",691,34639,2018,6
"ABE",696,36380,2018,7
"ABE",704,37334,2018,8
"ABE",603,26639,2018,9
"ABE",684,32889,2018,10
"ABE",652,31771,2018,11
"ABE",637,29397,2018,12
"ABE",576,25276,2019,1
"ABE",570,27067,2019,2
"ABE",657,36962,2019,3
"ABE",748,40642,2019,4
"ABE",683,36304,2019,5
"ABE",785,43487,2019,6
"ABE",826,44604,2019,7
"ABE",833,44468,2019,8
"ABE",764,31780,2019,9
"ABE",805,36550,2019,10
"ABE",740,34210,2019,11
"ABE",718,33923,2019,12
"ABI",218,6039,2018,1
"ABI",190,5515,2018,2
"ABI",205,5583,2018,3
"ABI",231,6388,2018,4
"ABI",242,7275,2018,5
"ABI",227,6993,2018,6
"ABI",229,7292,2018,7
"ABI",242,6965,2018,8
"ABI",221,6466,2018,9
"ABI",248,7338,2018,10
"ABI",231,6725,2018,11
"ABI",239,6971,2018,12
"ABI",230,5689,2019,1
"ABI",209,5463,2019,2
"ABI",227,6536,2019,3
"ABI",225,6353,2019,4
"ABI",263,7370,2019,5
"ABI",268,8533,2019,6
"ABI",264,7563,2019,7
"ABI",283,8565,2019,8
"ABI",249,7007,2019,9
"ABI",273,8190,2019,10
"ABI",248,7232,2019,11
"ABI",263,7432,2019,12
"ABL",116,399,2018,1
"ABL",76,266,2018,2
"ABL",91,286,2018,3
"ABL",110,365,2018,4
"ABL",122,360,2018,5
"ABL",104,287,2018,6
"ABL",117,340,2018,7
"ABL",142,489,2018,8
"ABL",136,480,2018,9
"ABL",140,517,2018,10
"ABL",116,406,2018,11
"ABL",81,270,2018,12
"ABL",132,449,2019,1
"ABL",69,246,2019,2
"ABL",115,394,2019,3
"ABL",101,335,2019,4
"ABL",110,399,2019,5
"ABL",112,343,2019,6
"ABL",117,336,2019,7
"ABL",109,353,2019,8
"ABL",123,372,2019,9
"ABL",120,382,2019,10
"ABL",112,422,2019,11
"ABL",101,349,2019,12
"ABQ",2568,171887,2018,1
"ABQ",2231,169627,2018,2
