"total_distance","total_passengers","unique_carrier","year","month"
8190817,768597,"9E",2018,1
8187698,807794,"9E",2018,2
9075345,1042517,"9E",2018,3
9256602,1093683,"9E",2018,4
9874853,1163129,"9E",2018,5
10363042,1248049,"9E",2018,6
9883886,1178769,"9E",2018,7
10248241,1213125,"9E",2018,8
9559823,1019198,"9E",2018,9
10372247,1144901,"9E",2018,10
9269193,1065064,"9E",2018,11
9806895,1106089,"9E",2018,12
9368390,929104,"9E",2019,1
8390540,880109,"9E",2019,2
10517410,1204368,"9E",2019,3
10078873,1153618,"9E",2019,4
9821883,1213753,"9E",2019,5
9771474,1258523,"9E",2019,6
9756233,1267667,"9E",2019,7
10288778,1291244,"9E",2019,8
9436207,1144027,"9E",2019,9
9965928,1206876,"9E",2019,10
9475652,1138575,"9E",2019,11
10530164,1302366,"9E",2019,12
737393,38793,"9K",2018,1
708185,38092,"9K",2018,2
797006,46419,"9K",2018,3
812003,45774,"9K",2018,4
920493,53308,"9K",2018,5
928811,46468,"9K",2018,6
995104,52316,"9K",2018,7
1036491,54970,"9K",2018,8
952201,45225,"9K",2018,9
874792,39365,"9K",2018,10
783410,33292,"9K",2018,11
788417,31825,"9K",2018,12
743803,28120,"9K",2019,1
641712,25444,"9K",2019,2
769291,31638,"9K",2019,3
769239,31300,"9K",2019,4
837215,37602,"9K",2019,5
873028,42909,"9K",2019,6
991524,50930,"9K",2019,7
1007352,53577,"9K",2019,8
943379,44703,"9K",2019,9
859215,40222,"9K",2019,10
768926,34667,"9K",2019,11
790863,37056,"9K",2019,12
74048616,9063358,"AA",2018,1
68352602,8788047,"AA",2018,2
77209811,10446771,"AA",2018,3
74813121,9914151,"AA",2018,4
78658282,10399663,"AA",2018,5
80665775,10672106,"AA",2018,6
83256121,10924877,"AA",2018,7
82120951,10631386,"AA",2018,8
74758461,9042830,"AA",2018,9
78224164,10307105,"AA",2018,10
73124217,9905071,"AA",2018,11
75747754,9788721,"AA",2018,12
74807754,9568310,"AA",2019,1
69450309,9255243,"AA",2019,2
78405134,10914442,"AA",2019,3
73267864,10197906,"AA",2019,4
78263895,11045841,"AA",2019,5
77558243,10983217,"AA",2019,6
80660512,11327850,"AA",2019,7
81477136,11095075,"AA",2019,8
74464398,9988519,"AA",2019,9
77655414,10817730,"AA",2019,10
75499716,10224123,"AA",2019,11
79624230,10982404,"AA",2019,12
19165956,1809855,"AS",2018,1
17443009,1780962,"AS",2018,2
20112272,2143687,"AS",2018,3
29182341,2876718,"AS",2018,4
30520137,3045804,"AS",2018,5
30881083,3146394,"AS",2018,6
32241156,3277780,"AS",2018,7
31210543,3158158,"AS",2018,8
27823600,2684464,"AS",2018,9
28463970,2788538,"AS",2018,10
27531805,2680043,"AS",2018,11
28310078,2654904,"AS",2018,12
27253273,2405066,"AS",2019,1
24058057,2245286,"AS",2019,2
28790660,2803874,"AS",2019,3
28536340,2759837,"AS",2019,4
30402407,2986596,"AS",2019,5
31018972,3132094,"AS",2019,6
32637725,3310834,"AS",2019,7
32159444,3271544,"AS",2019,8
28485032,2827211,"AS",2019,9
29223260,2857071,"AS",2019,10
28004393,2649673,"AS",2019,11
29484986,2916331,"AS",2019,12
3139028,258017,"AX",2018,1
2866423,245135,"AX",2018,2
3051234,268718,"AX",2018,3
3124906,285488,"AX",2018,4
3116468,295078,"AX",2018,5
3217786,302804,"AX",2018,6
3158800,298413,"AX",2018,7
3173646,295282,"AX",2018,8
2757805,254251,"AX",2018,9
2893957,255115,"AX",2018,10
2660874,230675,"AX",2018,11
2970588,255329,"AX",2018,12
2714725,224101,"AX",2019,1
2561180,214540,"AX",2019,2
3023771,260331,"AX",2019,3
2982147,250552,"AX",2019,4
2979230,264905,"AX",2019,5
2935941,260754,"AX",2019,6
3071525,273606,"AX",2019,7
3049521,268703,"AX",2019,8
2930715,256875,"AX",2019,9
2922121,266488,"AX",2019,10
2750920,239027,"AX",2019,11
2911950,263209,"AX",2019,12
25016551,2544061,"B6",2018,1
24234837,2512546,"B6",2018,2
26721121,2978753,"B6",2018,3
27349898,2951560,"B6",2018,4
