"origin","total_departures","total_departing_passengers","year","month"
"ABE",616,25810,2018,1
"ABE",555,25937,2018,2
"ABE",635,31814,2018,3
"ABE",660,31301,2018,4
"ABE",695,33553,2018,5
"ABE",711,35477,2018,6
"ABE",717,37451,2018,7
"ABE",726,37146,2018,8
"ABE",641,27283,2018,9
"ABE",719,33276,2018,10
"ABE",683,31946,2018,11
"ABE",671,29220,2018,12
"ABE",602,26967,2019,1
"ABE",601,28446,2019,2
"ABE",688,36099,2019,3
"ABE",779,40410,2019,4
"ABE",718,35841,2019,5
"ABE",809,44139,2019,6
"ABE",843,45438,2019,7
"ABE",836,42841,2019,8
"ABE",758,32555,2019,9
"ABE",811,37408,2019,10
"ABE",738,33228,2019,11
"ABE",730,34682,2019,12
"ABI",213,6183,2018,1
"ABI",183,5460,2018,2
"ABI",192,5473,2018,3
"ABI",217,6644,2018,4
"ABI",225,7575,2018,5
"ABI",217,7475,2018,6
"ABI",221,7705,2018,7
"ABI",225,7220,2018,8
"ABI",209,6627,2018,9
"ABI",227,7698,2018,10
"ABI",215,7067,2018,11
"ABI",224,6767,2018,12
"ABI",208,5793,2019,1
"ABI",196,5749,2019,2
"ABI",210,6495,2019,3
"ABI",210,6766,2019,4
"ABI",247,7839,2019,5
"ABI",255,8713,2019,6
"ABI",251,7946,2019,7
"ABI",267,8081,2019,8
"ABI",236,7328,2019,9
"ABI",258,8120,2019,10
"ABI",234,7213,2019,11
"ABI",259,7725,2019,12
"ABL",114,381,2018,1
"ABL",76,279,2018,2
"ABL",92,263,2018,3
"ABL",110,365,2018,4
"ABL",122,350,2018,5
"ABL",104,283,2018,6
"ABL",118,358,2018,7
"ABL",142,489,2018,8
"ABL",136,476,2018,9
"ABL",140,499,2018,10
"ABL",116,427,2018,11
"ABL",81,267,2018,12
"ABL",132,464,2019,1
"ABL",69,265,2019,2
"ABL",114,357,2019,3
"ABL",101,360,2019,4
"ABL",110,382,2019,5
"ABL",113,360,2019,6
"ABL",117,336,2019,7
"ABL",108,330,2019,8
"ABL",123,380,2019,9
"ABL",120,397,2019,10
"ABL",112,403,2019,11
"ABL",101,351,2019,12
"ABQ",2525,176468,2018,1
"ABQ",2214,167705,2018,2
"ABQ",2657,219957,2018,3
"ABQ",2664,218096,2018,4
"ABQ",2823,250918,2018,5
"ABQ",2866,257056,2018,6
"ABQ",2930,262853,2018,7
"ABQ",2955,248512,2018,8
"ABQ",2690,228395,2018,9
"ABQ",2741,260363,2018,10
"ABQ",2634,225953,2018,11
"ABQ",2661,211831,2018,12
"ABQ",2387,173804,2019,1
"ABQ",2137,164394,2019,2
"ABQ",2459,214984,2019,3
"ABQ",2373,209243,2019,4
"ABQ",2538,242668,2019,5
"ABQ",2644,252437,2019,6
"ABQ",2770,254613,2019,7
"ABQ",2848,242404,2019,8
"ABQ",2693,231305,2019,9
"ABQ",2904,265803,2019,10
"ABQ",2592,218202,2019,11
"ABQ",2660,229286,2019,12
"ABR",83,2315,2018,1
"ABR",76,2376,2018,2
"ABR",86,2272,2018,3
