"total_gallons_fuel_domestic","unique_carrier","year","month"
0,"YV",2018,10
201400497,"DL",2018,7
15280124,"HA",2019,1
55146389,"B6",2018,9
16087016,"HA",2019,7
0,"G7",2019,5
177101321,"WN",2018,3
15115998,"HA",2018,1
15274510,"HA",2018,9
145503793,"UA",2018,5
62005379,"AS",2018,5
0,"OH",2019,3
0,"MQ",2019,7
0,"YV",2018,8
160622317,"UA",2018,7
8642187,"OO",2018,10
20121,"YX",2019,1
0,"EV",2019,4
57303758,"B6",2018,4
16090859,"G4",2019,8
0,"MQ",2019,6
0,"CP",2019,6
58432767,"AS",2019,4
142507092,"UA",2018,9
20283982,"F9",2018,10
8257547,"OO",2018,5
50121660,"AS",2019,2
29025055,"NK",2018,9
0,"9E",2019,8
13935,"YX",2019,3
16489483,"HA",2018,8
0,"G7",2018,8
56468118,"AS",2018,1
0,"EV",2018,7
0,"EV",2019,9
167883633,"DL",2019,1
0,"G7",2018,7
0,"YV",2019,9
0,"G7",2019,7
0,"OH",2018,8
63201373,"AS",2018,6
8262780,"OO",2019,4
203192653,"AA",2019,8
41318,"YX",2019,2
66100174,"AS",2019,8
32883,"YX",2018,8
22181,"YX",2018,2
0,"EV",2018,9
0,"YV",2018,3
200453516,"AA",2018,8
0,"9E",2018,7
163531864,"UA",2019,8
0,"G7",2019,2
0,"OH",2019,4
0,"G7",2018,9
58438446,"AS",2019,9
8477821,"OO",2018,12
14498951,"G4",2018,12
0,"QX",2018,1
0,"OH",2018,11
9566241,"OO",2019,7
175403853,"WN",2018,10
8231728,"OO",2018,9
0,"G7",2019,6
0,"CP",2018,12
0,"CP",2018,2
8915291,"OO",2019,6
19219538,"F9",2019,1
0,"MQ",2018,2
14585655,"G4",2018,10
171492052,"WN",2019,4
18137,"YX",2019,6
138755009,"UA",2018,11
14924168,"G4",2018,2
177789535,"WN",2019,3
173093144,"WN",2018,11
0,"MQ",2019,9
170130440,"DL",2018,9
161332466,"WN",2018,1
21048,"YX",2018,12
0,"MQ",2018,10
0,"MQ",2018,8
32308811,"NK",2019,9
195785035,"AA",2019,5
0,"YV",2019,4
18646834,"F9",2018,4
0,"CP",2019,3
11066373,"G4",2018,9
58606470,"AS",2018,10
189695114,"DL",2019,3
